"COUNTRIES","NB_UNITS","MEDIAN_POP_2020","MEDIAN_AREA_KM2"
"AL",61,26716,431.49810314
"AT",2095,1818,27.42570863
"BE",581,12528,40.71149028
"BG",265,10095,347.58735192
"CH",2256,NA,8.14736209
"CY",615,NA,12.08109332
"CZ",6258,438,8.023384975
"DE",11007,1737,18.9451033
"DK",99,42989,358.52467962
"EE",79,7460,511.97437234
"EL",6135,336,14.57217017
"ES",8131,518,34.85192469
"FI",310,6065.5,643.771930895
"FR",34968,NA,11.000938875
"HR",556,2983.5,66.68019944
"HU",3155,790,18.68290544
"IE",166,26936,390.203334295
"IS",72,NA,639.76663132
"IT",7914,2457,22.35148458
"LI",11,4399,10.31569227
"LT",60,26296,1213.61054859
"LU",102,3062.5,21.109086765
"LV",119,6412,364.01945722
"MK",80,NA,235.934886125
"MT",68,4534.5,2.8048617
"NL",355,30725,76.03664232
"NO",356,5162.5,641.04636342
"PL",2477,7492,111.72286349
"PT",3092,1179,16.463349005
"RO",3181,3061,61.30039812
"RS",169,24564,383.3735697
"SE",290,15978,738.13089079
"SI",212,4713,64.466231585
"SK",2927,669,11.65064003
"UK",391,NA,279.52877158
"ALL (EU + CANDIDATES)",98613,848,16.03383198
