"COUNTRIES","From 7500 to 20000 inh.","20000 to 50000 inh.","50000 to 100000 inh.","100000 to 1 million inh.","1 to 10 million inh."
"AT",29,13,4,5,1
"BE",13,18,6,9,1
"BG",26,24,13,5,1
"CH",1,NA,NA,NA,NA
"Crossborder",4,13,7,7,1
"CY",NA,2,1,2,NA
"CZ",44,40,16,5,1
"DE",225,383,94,59,7
"DK",16,23,5,3,1
"EE",8,2,2,1,NA
"ES",61,120,61,55,3
"FI",6,19,11,5,1
"FR",154,110,58,50,2
"GR",7,21,16,6,1
"HR",7,15,6,4,NA
"HU",43,37,10,8,1
"IE",11,10,2,1,1
"IT",149,232,86,47,4
"LT",1,5,1,5,NA
"LU",1,NA,1,1,NA
"LV",11,6,4,1,NA
"MT",NA,NA,NA,1,NA
"NL",21,101,32,24,2
"PL",62,162,46,30,2
"PT",25,26,6,5,2
"RO",46,53,24,25,1
"SE",8,40,21,13,1
"SI",4,2,1,1,NA
"SK",25,29,9,2,NA
"UK",177,171,66,71,6
"ALL",1185,1677,609,451,40
